Senator Names,Gender,State,Party,Religion,Campaign Money Raised (millions of $),Campaign Money Spent (millions of $),NRA Rating
Lamar Alexander,Male,Tennessee,Republican,Protestant,5.3,3.5,A
Kelly Ayotte,Female,New Hampshire,Republican,Catholic,7.3,6,A
Tammy Baldwin,Female,Wisconsin,Democrat,Unaffiliated,15.3,15.9,F
John Barrasso,Male,Wyoming,Republican,Protestant,4.9,2.9,A
Mark Begich,Male,Alaska,Democrat,Catholic,5.6,3,AQ
Michael Bennet,Male,Colorado,Democrat,Unaffiliated,15.1,14.1,C+
Richard Blumenthal,Male,Connecticut,Democrat,Jewish,9.6,9.3,F
Roy Blunt,Male,Missouri,Republican,Protestant,14,13.6,A
Cory Booker,Male,New Jersey,Democrat,Protestant,13,11.2,
John Boozman,Male,Arkansas,Republican,Protestant,4.1,4,A
Barbara Boxer,Female,California,Democrat,Jewish,13.8,7.1,F
Sherrod Brown,Male,Ohio,Democrat,Protestant,23.9,23.9,F
Richard Burr,Male,North Carolina,Republican,Protestant,8.8,5.6,A
Maria Cantwell,Female,Washington,Democrat,Catholic,11.7,10.7,F
Benjamin Cardin,Male,Maryland,Democrat,Jewish,6.6,6,F
Thomas Carper,Male,Delaware,Democrat,Protestant,4.7,4.7,F
Robert Casey Jr.,Male,Pennsylvania,Democrat,Catholic,13.9,14,A
Saxby Chambliss,Male,Georgia,Republican,Protestant,2.5,1.3,A+
Daniel Coats,Male,Indiana,Republican,Protestant,5.7,5.1,C+
Thomas Coburn,Male,Oklahoma,Republican,Protestant,2.1,2.8,A
Thad Cochran,Male,Mississippi,Republican,Protestant,1.2,0.6,A
Susan Collins,Female,Maine,Republican,Catholic,3.6,0.9,C+
Chris Coons,Male,Delaware,Democrat,Protestant,7.7,4.8,F
Bob Corker,Male,Tennessee,Republican,Protestant,12,6.2,A
John Cornyn,Male,Texas,Republican,Other Christian,12.7,8.3,A
Michael Crapo,Male,Idaho,Republican,Other Christian,4.7,3.1,A+
Ted Cruz,Male,Texas,Republican,Protestant,17.7,15.4,A+
Joe Donnelly,Male,Indiana,Democrat,Catholic,6.2,6.1,A
Richard Durbin ,Male,Illinois,Democrat,Catholic,6.6,4,F
Michael Enzi,Male,Wyoming,Republican,Protestant,2.6,1.4,A
Dianne Feinstein,Female,California,Democrat,Jewish,9.7,11.4,F
Deb Fischer,Female,Nebraska,Republican,Protestant,5.6,5.6,A
Jeff Flake,Male,Arizona,Republican,Other Christian,9.3,9.9,A
Alan Franken,Male,Minnesota,Democrat,Jewish,18.5,15.1,F
Kirsten Gillibrand,Female,New York,Democrat,Catholic,29.7,28.1,F
Lindsey Graham,Male,South Carolina,Republican,Protestant,8.1,3.2,A
Charles Grassley,Male,Iowa,Republican,Protestant,6.3,7.6,A
Kay Hagan,Female,North Carolina,Democrat,Protestant,9.9,3.1,F
Thomas Harkin,Male,Iowa,Democrat,Catholic,2.6,2.3,F
Orrin Hatch,Male,Utah,Republican,Other Christian,11.2,12.3,A+
Martin Heinrich,Male,New Mexico,Democrat,Protestant,7,6.8,A
Heidi Heitkamp,Female,North Dakota,Democrat,Catholic,6.2,6,AQ
Dean Heller,Male,Nevada,Republican,Other Christian,9.9,9.7,A
Mazie Hirono,Female,Hawaii,Democrat,Buddhism,5.9,6,F
John Hoeven,Male,North Dakota,Republican,Catholic,4.2,3.5,A
James Inhofe,Male,Oklahoma,Republican,Protestant,3.5,2.4,A+
John Isakson,Male,Georgia,Republican,Protestant,8.6,8.8,A
Mike Johanns,Male,Nebraska,Republican,Catholic,0.7,0.6,A
Tim Johnson,Male,South Dakota,Democrat,Protestant,1.6,1,A
Ron Johnson,Male,Wisconsin,Republican,Protestant,17.2,16.8,AQ
Timothy Kaine,Male,Virginia,Democrat,Catholic,18.5,18.2,F
Angus King,Male,Maine,Independent,Protestant,3,3,
Mark Kirk,Male,Illinois,Republican,Protestant,16.1,15.5,F
Amy Klobuchar,Female,Minnesota,Democrat,Protestant,9.6,8.4,F
Mary Landrieu,Female,Louisiana,Democrat,Catholic,9.5,3.1,C
Patrick Leahy,Male,Vermont,Democrat,Catholic,4.3,4.4,C
Mike Lee,Male,Utah,Republican,Other Christian,3,2.8,AQ
